sentence1,sentence2,score
A girl is styling her hair.,A girl is brushing her hair.,2.5
A group of men play soccer on the beach.,A group of boys are playing soccer on the beach.,3.6
One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,5.0
A man is cutting up a cucumber.,A man is slicing a cucumber.,4.2
A man is playing a harp.,A man is playing a keyboard.,1.5
A woman is cutting onions.,A woman is cutting tofu.,1.8
A man is riding an electric bicycle.,A man is riding a bicycle.,3.5
A man is playing the drums.,A man is playing the guitar.,2.2
A man is playing guitar.,A lady is playing the guitar.,2.2
A man is playing a guitar.,A man is playing a trumpet.,1.714
A man is playing a guitar.,A man is playing a trumpet.,1.714
A man is cutting an onion.,A man cuts an onion.,5.0
A man is cycling.,A man is talking.,0.6
A man is slicing open a fish.,A man is cutting up a fish.,4.4
A man is slicing a tomato.,A man is slicing a bun.,2.0
A man is playing a guitar.,A man is playing a keyboard.,1.8
A baby panda goes down a slide.,A panda slides down a slide.,4.4
A man is singing and playing a guitar.,A man is playing a guitar.,3.6
A man attacks a woman.,A man slaps a woman.,3.6
A man is driving a car.,A man is riding a horse.,1.2
A woman is cutting tofu.,A woman is cutting an onion.,2.4
The woman is styling her hair.,The woman is slicing herbs.,0.2
Two zebras play in an open field.,Two zebras are playing in a field.,4.2
A man is cutting a potato.,A man is slicing some potato.,4.4
A man is slicing an onion.,A woman is slicing a pumpkin.,2.25
A  man is dancing.,A man and woman is dancing.,2.0
A man is riding a motorcycle.,A woman is riding a horse.,0.75
A woman is slicing garlics.,A woman is slicing an onion.,2.2
A man is speaking.,A man is cooking.,0.8
A little boy is singing and playing a guitar.,A man is singing and playing the guitar.,2.2
A turtle is swimming in water.,A turtle is walking underwater.,3.2
A young woman is putting stickers all over her face.,A woman is applying stickers to her face.,4.8
A woman is wrapping tofu.,A woman is balling dough.,1.4
A cat is eating some corn.,A cat is eating corn on the cob.,4.25
A man is eating a food.,A man is eating a piece of bread.,3.4
A man is playing a guitar.,A man is eating pasta.,0.533
A man is kicking pots of water.,A man is picking flowers.,0.4
A man is cutting a pipe with scissors.,A man is cutting carpet with a knife.,1.2
A woman is dancing in the rain.,A woman dances in the rain out side.,5.0
A woman is taking a bath.,A woman is riding a horse.,0.538
A man mixes vegetables in a pot.,A person is stirring vegetables in a pot.,3.75
A woman is talking on a cell phone.,A man and woman are talking on the phone.,3.0
A man is playing a guitar.,A man is singing while playing the guitar.,3.6
A man is playing a guitar.,A man is driving a car.,0.5
A man is cutting apple by his hand.,A man is cutting carpet with a knife.,1.5
A man is opening a door.,A man is cutting an onion.,0.8
A man is slicing a tomato.,A man is riding a horse.,0.8
A man is cutting paper with a sword.,A woman is cutting a tomato.,0.6
A boy studies a calendar.,A boy is looking at a calendar.,4.4
The ballerina is dancing.,A man is dancing.,1.75
A woman is dancing.,A woman is playing violin.,0.4
A woman is slicing some tomatoes.,A woman is chopping a potato.,1.4
A woman is water skiing.,A woman is slicing fish.,0.4
A man is playing a flute.,A man is riding a scooter.,0.8
A man is playing the piano.,A man played the guitar.,2.0
A woman is picking a can.,A man is playing a guitar.,0.133
A man puts three pieces of meat into a pan.,A man is putting meat in a pan.,4.0
A woman is cutting an onion.,A woman is cleaning a garden.,0.267
Some men are sawing.,Men are sawing logs.,3.4
A car is driven down the road.,A girl is walking down a road.,1.2
The man is kissing and hugging the woman.,A man is hugging and kissing a woman.,5.0
A train is moving.,A man is doing yoga.,0.0
Someone is slicing an onion.,A woman is cutting onion.,3.8
A woman is playing in the ocean.,A woman is preparing shrimp to cook.,0.75
A person is playing an electronic keyboard.,A kid is playing keyboard.,3.4
A man is holding a leaf.,A monkey is fighting a man.,0.0
A woman is peeling shrimp.,A man is squeezing water.,0.2
A man is sitting and smoking.,A man is smoking a cigarette.,4.0
A man is playing a guitar.,A woman is riding a horse.,0.5
A man is standing in front of the window and looking outside.,A man is staring out the window.,3.8
A skunk is looking here and there.,A skunk looks at the camera.,2.4
A man is playing the guitar and singing.,A man sings with a guitar.,4.75
A woman opens a window.,A man is crawling.,0.0
People are dancing outside.,A group of people are dancing.,3.75
The man is using a camera to hammer a nail.,Someone is banging a camera lense against a nail.,2.6
A woman is filing her nails.,A man is peeling a carrot.,0.0
A boy is crawling into a dog house.,A boy is playing a wooden flute.,0.75
A woman is swimming underwater.,A man is slicing some carrots.,0.0
A machine is sharpening a pencil.,The machine shaved the end of the pencil.,3.8
A monkey is playing drums.,A gorilla plays the drums.,2.8
A man is opening a box and taking out paper.,A woman is peeling a potato.,0.0
A woman is dancing.,A woman plays the clarinet.,0.8
A person is drawing on a large touchscreen.,A man is drawing on a digital dry erase board.,3.0
The men played follow the leader on the grass.,The rhino grazed on the grass.,1.0
A woman is cracking eggs.,A man is talking to a woman.,0.0
A woman peels garlic with her hands.,The woman is slicing herbs.,1.0
The polar bears fought over the kill.,Polar bears are fighting each other.,3.4
A man is doing trick with play cards.,A man is performing a card trick.,5.0
